# Label,Order,Size,Colour,x,y,Level 0,Level 1,Level 2
E1  1BJ,,1,,534884,181833,E,  E1  ,   E1  1   
E1  1BU,,1,,534890,181909,E,  E1  ,   E1  1   
E1  1BW,,1,,534859,181910,E,  E1  ,   E1  1   
E1  1BY,,1,,534738,181859,E,  E1  ,   E1  1   
E1  1BZ,,1,,534753,181798,E,  E1  ,   E1  1   
E1  1DB,,1,,534632,181810,E,  E1  ,   E1  1   
E1  1DE,,1,,534541,181773,E,  E1  ,   E1  1   
E1  1DG,,1,,534613,181813,E,  E1  ,   E1  1   
E1  1DN,,1,,534448,181733,E,  E1  ,   E1  1   
E1  1DT,,1,,534279,181643,E,  E1  ,   E1  1   
E1  1DU,,1,,534124,181554,E,  E1  ,   E1  1   
E1  1DW,,1,,534414,181715,E,  E1  ,   E1  1   
E1  1DX,,1,,534086,181530,E,  E1  ,   E1  1   
E1  1DY,,1,,534226,181534,E,  E1  ,   E1  1   
E1  1EE,,1,,534185,181471,E,  E1  ,   E1  1   
E1  1EG,,1,,534186,181389,E,  E1  ,   E1  1   
E1  1EH,,1,,534223,181446,E,  E1  ,   E1  1   
E1  1EJ,,1,,534350,181496,E,  E1  ,   E1  1   
E1  1EN,,1,,534306,181410,E,  E1  ,   E1  1   
E1  1EP,,1,,534244,181450,E,  E1  ,   E1  1   
E1  1EQ,,1,,534306,181410,E,  E1  ,   E1  1   
E1  1ER,,1,,534248,181402,E,  E1  ,   E1  1   
E1  1ES,,1,,534401,181549,E,  E1  ,   E1  1   
E1  1ET,,1,,534448,181569,E,  E1  ,   E1  1   
E1  1EU,,1,,534461,181506,E,  E1  ,   E1  1   
E1  1EW,,1,,534174,181527,E,  E1  ,   E1  1   
E1  1EY,,1,,534470,181552,E,  E1  ,   E1  1   
E1  1EZ,,1,,534248,181402,E,  E1  ,   E1  1   
E1  1HA,,1,,534483,181485,E,  E1  ,   E1  1   
E1  1HD,,1,,534146,181430,E,  E1  ,   E1  1   
E1  1HE,,1,,534553,181401,E,  E1  ,   E1  1   
E1  1HH,,1,,534521,181531,E,  E1  ,   E1  1   
E1  1HJ,,1,,534503,181650,E,  E1  ,   E1  1   
E1  1HL,,1,,534471,181401,E,  E1  ,   E1  1   
E1  1HP,,1,,534478,181364,E,  E1  ,   E1  1   
E1  1HQ,,1,,534486,181464,E,  E1  ,   E1  1   
E1  1HR,,1,,534460,181398,E,  E1  ,   E1  1   
E1  1HS,,1,,534474,181437,E,  E1  ,   E1  1   
E1  1HU,,1,,534489,181566,E,  E1  ,   E1  1   
E1  1HX,,1,,534501,181502,E,  E1  ,   E1  1   
E1  1JD,,1,,534404,181655,E,  E1  ,   E1  1   
E1  1JE,,1,,534442,181669,E,  E1  ,   E1  1   
E1  1JG,,1,,534359,181640,E,  E1  ,   E1  1   
E1  1JH,,1,,534452,181653,E,  E1  ,   E1  1   
E1  1JN,,1,,534384,181519,E,  E1  ,   E1  1   
E1  1JP,,1,,534410,181463,E,  E1  ,   E1  1   
E1  1JQ,,1,,534317,181612,E,  E1  ,   E1  1   
E1  1JR,,1,,534444,181507,E,  E1  ,   E1  1   
E1  1JS,,1,,534506,181550,E,  E1  ,   E1  1   
E1  1JT,,1,,534518,181489,E,  E1  ,   E1  1   
E1  1JU,,1,,534290,181570,E,  E1  ,   E1  1   
E1  1JW,,1,,534386,181406,E,  E1  ,   E1  1   
E1  1LA,,1,,534276,181346,E,  E1  ,   E1  1   
E1  1LB,,1,,534199,181348,E,  E1  ,   E1  1   
E1  1LD,,1,,534127,181349,E,  E1  ,   E1  1   
E1  1LF,,1,,534241,181347,E,  E1  ,   E1  1   
E1  1LG,,1,,534056,181382,E,  E1  ,   E1  1   
E1  1LH,,1,,533958,181362,E,  E1  ,   E1  1   
E1  1LJ,,1,,534227,181300,E,  E1  ,   E1  1   
E1  1LL,,1,,534051,181296,E,  E1  ,   E1  1   
E1  1LN,,1,,534063,181310,E,  E1  ,   E1  1   
E1  1LP,,1,,534174,181301,E,  E1  ,   E1  1   
E1  1LQ,,1,,534221,180997,E,  E1  ,   E1  1   
E1  1LR,,1,,534209,181195,E,  E1  ,   E1  1   
E1  1LS,,1,,534245,181231,E,  E1  ,   E1  1   
E1  1LT,,1,,534232,181184,E,  E1  ,   E1  1   
E1  1LU,,1,,534195,181085,E,  E1  ,   E1  1   
E1  1LX,,1,,534249,181113,E,  E1  ,   E1  1   
E1  1LY,,1,,534265,181084,E,  E1  ,   E1  1   
E1  1LZ,,1,,534347,181202,E,  E1  ,   E1  1   
E1  1NA,,1,,534361,181096,E,  E1  ,   E1  1   
E1  1NB,,1,,534346,181242,E,  E1  ,   E1  1   
E1  1ND,,1,,534275,181273,E,  E1  ,   E1  1   
E1  1NE,,1,,534333,181121,E,  E1  ,   E1  1   
E1  1NG,,1,,534346,181242,E,  E1  ,   E1  1   
E1  1NH,,1,,534333,181121,E,  E1  ,   E1  1   
E1  1NL,,1,,534494,181299,E,  E1  ,   E1  1   
E1  1NT,,1,,534286,181184,E,  E1  ,   E1  1   
E1  1NU,,1,,534365,181298,E,  E1  ,   E1  1   
E1  1NY,,1,,534292,181295,E,  E1  ,   E1  1   
E1  1NZ,,1,,534292,181295,E,  E1  ,   E1  1   
E1  1PA,,1,,534412,181052,E,  E1  ,   E1  1   
E1  1PB,,1,,534376,181062,E,  E1  ,   E1  1   
E1  1PD,,1,,534313,180976,E,  E1  ,   E1  1   
E1  1PE,,1,,534311,181059,E,  E1  ,   E1  1   
E1  1PF,,1,,534282,181040,E,  E1  ,   E1  1   
E1  1PG,,1,,534324,181027,E,  E1  ,   E1  1   
E1  1PP,,1,,534287,181159,E,  E1  ,   E1  1   
E1  1PQ,,1,,534518,181248,E,  E1  ,   E1  1   
E1  1PR,,1,,534296,181161,E,  E1  ,   E1  1   
E1  1PS,,1,,534255,181152,E,  E1  ,   E1  1   
E1  1PT,,1,,534333,181121,E,  E1  ,   E1  1   
E1  1PW,,1,,534287,181159,E,  E1  ,   E1  1   
E1  1PX,,1,,534537,181342,E,  E1  ,   E1  1   
E1  1PY,,1,,534477,181258,E,  E1  ,   E1  1   
E1  1PZ,,1,,534528,181285,E,  E1  ,   E1  1   
E1  1QB,,1,,534484,181223,E,  E1  ,   E1  1   
E1  1QD,,1,,534484,181223,E,  E1  ,   E1  1   
E1  1QF,,1,,534523,181105,E,  E1  ,   E1  1   
E1  1QH,,1,,534489,181096,E,  E1  ,   E1  1   
E1  1QL,,1,,534545,180990,E,  E1  ,   E1  1   
E1  1QN,,1,,534559,181075,E,  E1  ,   E1  1   
E1  1QW,,1,,534553,181105,E,  E1  ,   E1  1   
E1  1RD,,1,,534442,181340,E,  E1  ,   E1  1   
E1  1RF,,1,,534415,181003,E,  E1  ,   E1  1   
E1  1RH,,1,,534365,181275,E,  E1  ,   E1  1   
E1  1RL,,1,,534368,181252,E,  E1  ,   E1  1   
E1  1RN,,1,,534403,181219,E,  E1  ,   E1  1   
E1  1RR,,1,,534341,181012,E,  E1  ,   E1  1   
E1  1RS,,1,,534440,181264,E,  E1  ,   E1  1   
E1  1RT,,1,,534444,181168,E,  E1  ,   E1  1   
E1  1RU,,1,,534409,181105,E,  E1  ,   E1  1   
E1  1RX,,1,,534411,181161,E,  E1  ,   E1  1   
E1  1RY,,1,,534364,181162,E,  E1  ,   E1  1   
E1  1SA,,1,,534398,180949,E,  E1  ,   E1  1   
E1  1SB,,1,,534388,180982,E,  E1  ,   E1  1   
E1  1SE,,1,,534456,180988,E,  E1  ,   E1  1   
E1  2AA,,1,,534685,181559,E,  E1  ,   E1  2   
E1  2AB,,1,,534662,181552,E,  E1  ,   E1  2   
E1  2AD,,1,,534656,181655,E,  E1  ,   E1  2   
E1  2AE,,1,,534623,181605,E,  E1  ,   E1  2   
E1  2AF,,1,,534637,181363,E,  E1  ,   E1  2   
E1  2AG,,1,,534624,181593,E,  E1  ,   E1  2   
E1  2AH,,1,,534715,181546,E,  E1  ,   E1  2   
E1  2AJ,,1,,534674,181513,E,  E1  ,   E1  2   
E1  2AL,,1,,534715,181497,E,  E1  ,   E1  2   
E1  2AN,,1,,534603,181457,E,  E1  ,   E1  2   
E1  2AP,,1,,534749,181430,E,  E1  ,   E1  2   
E1  2AQ,,1,,534833,181799,E,  E1  ,   E1  2   
E1  2AR,,1,,534644,181409,E,  E1  ,   E1  2   
E1  2AS,,1,,534684,181421,E,  E1  ,   E1  2   
E1  2AT,,1,,534563,181526,E,  E1  ,   E1  2   
E1  2AU,,1,,534654,181418,E,  E1  ,   E1  2   
E1  2AW,,1,,534617,181430,E,  E1  ,   E1  2   
E1  2AX,,1,,534572,181438,E,  E1  ,   E1  2   
E1  2BA,,1,,534556,181589,E,  E1  ,   E1  2   
E1  2BB,,1,,534560,181693,E,  E1  ,   E1  2   
E1  2BD,,1,,534750,181484,E,  E1  ,   E1  2   
E1  2BE,,1,,534608,181249,E,  E1  ,   E1  2   
E1  2BJ,,1,,534869,181548,E,  E1  ,   E1  2   
E1  2BL,,1,,534833,181534,E,  E1  ,   E1  2   
E1  2BN,,1,,534891,181497,E,  E1  ,   E1  2   
E1  2BP,,1,,534890,181419,E,  E1  ,   E1  2   
E1  2BQ,,1,,534888,181534,E,  E1  ,   E1  2   
E1  2BS,,1,,534895,181404,E,  E1  ,   E1  2   
E1  2BT,,1,,534822,181331,E,  E1  ,   E1  2   
E1  2BU,,1,,534784,181331,E,  E1  ,   E1  2   
E1  2DA,,1,,534631,181343,E,  E1  ,   E1  2   
E1  2DD,,1,,534727,181351,E,  E1  ,   E1  2   
E1  2DE,,1,,534717,181382,E,  E1  ,   E1  2   
E1  2DL,,1,,534636,181391,E,  E1  ,   E1  2   
E1  2DN,,1,,534772,181424,E,  E1  ,   E1  2   
E1  2DP,,1,,534767,181570,E,  E1  ,   E1  2   
E1  2DQ,,1,,534747,181373,E,  E1  ,   E1  2   
E1  2DR,,1,,534798,181475,E,  E1  ,   E1  2   
E1  2DS,,1,,534825,181362,E,  E1  ,   E1  2   
E1  2DT,,1,,534820,181400,E,  E1  ,   E1  2   
E1  2DU,,1,,534873,181397,E,  E1  ,   E1  2   
E1  2DW,,1,,534830,181350,E,  E1  ,   E1  2   
E1  2DY,,1,,534881,181358,E,  E1  ,   E1  2   
E1  2DZ,,1,,534893,181384,E,  E1  ,   E1  2   
E1  2EA,,1,,534775,181529,E,  E1  ,   E1  2   
E1  2EE,,1,,534893,181806,E,  E1  ,   E1  2   
E1  2EG,,1,,534915,181824,E,  E1  ,   E1  2   
E1  2EL,,1,,535008,181807,E,  E1  ,   E1  2   
E1  2EN,,1,,534923,181644,E,  E1  ,   E1  2   
E1  2EP,,1,,534949,181587,E,  E1  ,   E1  2   
E1  2EQ,,1,,535080,181599,E,  E1  ,   E1  2   
E1  2ES,,1,,534984,181595,E,  E1  ,   E1  2   
E1  2ET,,1,,535021,181618,E,  E1  ,   E1  2   
E1  2EU,,1,,535027,181572,E,  E1  ,   E1  2   
E1  2EY,,1,,535057,181577,E,  E1  ,   E1  2   
E1  2HA,,1,,534987,181578,E,  E1  ,   E1  2   
E1  2HD,,1,,534969,181491,E,  E1  ,   E1  2   
E1  2HE,,1,,535010,181452,E,  E1  ,   E1  2   
E1  2HF,,1,,534930,181597,E,  E1  ,   E1  2   
E1  2HG,,1,,535021,181491,E,  E1  ,   E1  2   
E1  2HH,,1,,535010,181452,E,  E1  ,   E1  2   
E1  2HJ,,1,,535043,181437,E,  E1  ,   E1  2   
E1  2HL,,1,,534945,181429,E,  E1  ,   E1  2   
E1  2HN,,1,,534893,181384,E,  E1  ,   E1  2   
E1  2HP,,1,,534927,181357,E,  E1  ,   E1  2   
E1  2HQ,,1,,534995,181339,E,  E1  ,   E1  2   
E1  2HR,,1,,535023,181305,E,  E1  ,   E1  2   
E1  2HS,,1,,534958,181544,E,  E1  ,   E1  2   
E1  2HX,,1,,534974,181459,E,  E1  ,   E1  2   
E1  2JA,,1,,534901,181639,E,  E1  ,   E1  2   
E1  2JB,,1,,534854,181481,E,  E1  ,   E1  2   
E1  2JD,,1,,534848,181449,E,  E1  ,   E1  2   
E1  2JE,,1,,534814,181440,E,  E1  ,   E1  2   
E1  2JF,,1,,534756,181468,E,  E1  ,   E1  2   
E1  2JH,,1,,534738,181531,E,  E1  ,   E1  2   
E1  2JJ,,1,,534605,181594,E,  E1  ,   E1  2   
E1  2JL,,1,,534702,181616,E,  E1  ,   E1  2   
E1  2JP,,1,,534736,181259,E,  E1  ,   E1  2   
E1  2JR,,1,,534737,181292,E,  E1  ,   E1  2   
E1  2JT,,1,,534737,181292,E,  E1  ,   E1  2   
E1  2JY,,1,,534638,181301,E,  E1  ,   E1  2   
E1  2LA,,1,,534641,181230,E,  E1  ,   E1  2   
E1  2LE,,1,,534622,181250,E,  E1  ,   E1  2   
E1  2LF,,1,,534606,181222,E,  E1  ,   E1  2   
E1  2LG,,1,,534615,181179,E,  E1  ,   E1  2   
E1  2LH,,1,,534619,181172,E,  E1  ,   E1  2   
E1  2LJ,,1,,534609,180996,E,  E1  ,   E1  2   
E1  2LL,,1,,534515,181155,E,  E1  ,   E1  2   
E1  2LN,,1,,534494,181154,E,  E1  ,   E1  2   
E1  2LP,,1,,534537,181261,E,  E1  ,   E1  2   
E1  2LR,,1,,534559,181238,E,  E1  ,   E1  2   
E1  2LS,,1,,534620,181273,E,  E1  ,   E1  2   
E1  2LX,,1,,534589,181176,E,  E1  ,   E1  2   
E1  2LY,,1,,534638,180966,E,  E1  ,   E1  2   
E1  2NA,,1,,534812,181156,E,  E1  ,   E1  2   
E1  2NB,,1,,534833,181288,E,  E1  ,   E1  2   
E1  2ND,,1,,534868,181083,E,  E1  ,   E1  2   
E1  2NG,,1,,534819,181111,E,  E1  ,   E1  2   
E1  2NJ,,1,,534725,181060,E,  E1  ,   E1  2   
E1  2NL,,1,,534764,181018,E,  E1  ,   E1  2   
E1  2NN,,1,,534777,180996,E,  E1  ,   E1  2   
E1  2NP,,1,,534905,181041,E,  E1  ,   E1  2   
E1  2NQ,,1,,534775,181081,E,  E1  ,   E1  2   
E1  2NT,,1,,534869,181115,E,  E1  ,   E1  2   
E1  2NW,,1,,534872,181033,E,  E1  ,   E1  2   
E1  2NX,,1,,535046,181249,E,  E1  ,   E1  2   
E1  2PD,,1,,535040,181094,E,  E1  ,   E1  2   
E1  2PE,,1,,535080,181087,E,  E1  ,   E1  2   
E1  2PG,,1,,535097,181023,E,  E1  ,   E1  2   
E1  2PH,,1,,534811,180984,E,  E1  ,   E1  2   
E1  2PL,,1,,534643,181074,E,  E1  ,   E1  2   
E1  2PP,,1,,534946,181193,E,  E1  ,   E1  2   
E1  2PR,,1,,534926,181218,E,  E1  ,   E1  2   
E1  2PS,,1,,535058,181302,E,  E1  ,   E1  2   
E1  2PT,,1,,534922,181151,E,  E1  ,   E1  2   
E1  2PY,,1,,535122,181252,E,  E1  ,   E1  2   
E1  2QA,,1,,535070,181209,E,  E1  ,   E1  2   
E1  2QB,,1,,535062,180996,E,  E1  ,   E1  2   
E1  2QD,,1,,535003,180992,E,  E1  ,   E1  2   
E1  2QE,,1,,534970,180949,E,  E1  ,   E1  2   
E1  2QF,,1,,534936,180942,E,  E1  ,   E1  2   
E1  2QG,,1,,535010,180965,E,  E1  ,   E1  2   
E1  2QH,,1,,535110,180968,E,  E1  ,   E1  2   
